Date,Open,High,Low,Close,Volume
2007-01-09,118.76,119.53,118.66,119.38,0
2007-01-10,119.36,119.77,119.13,119.67,0
2007-01-11,119.62,120.63,119.49,120.49,0
2007-01-12,120.5,120.72,120.16,120.32,0
2007-01-15,120.44,120.5,120.36,120.43,0
2007-01-16,120.42,120.76,120.21,120.66,0
2007-01-17,120.63,120.87,120.35,120.66,0
2007-01-18,120.65,121.58,120.47,121.21,0
2007-01-19,121.23,121.47,121.09,121.22,0
2007-01-22,121.23,121.79,121.2,121.67,0
2007-01-23,121.65,121.74,121.09,121.65,0
2007-01-24,121.65,121.78,120.64,121.19,0
2007-01-25,121.17,121.28,120.19,121.24,0
2007-01-26,121.24,121.63,121.17,121.52,0
2007-01-29,121.5,122.17,121.43,121.75,0
2007-01-30,121.74,121.99,121.47,121.63,0
2007-01-31,121.61,121.74,120.62,120.63,0
2007-02-01,120.71,120.91,120.11,120.78,0
2007-02-02,120.77,121.35,120.63,121.1,0
2007-02-05,121.08,121.18,120.23,120.32,0
2007-02-06,120.32,120.56,119.97,120.11,0
2007-02-07,120.1,120.81,119.99,120.68,0
2007-02-08,120.68,121.43,120.55,121.03,0
2007-02-09,121.03,121.74,120.97,121.7,0
2007-02-12,121.81,122.09,121.58,121.93,0
2007-02-13,121.94,121.95,121.09,121.16,0
2007-02-14,121.17,121.36,120.62,120.78,0
2007-02-15,120.75,120.77,119.16,119.25,0
2007-02-16,119.24,119.55,118.98,119.41,0
2007-02-19,119.4,119.73,119.22,119.54,0
2007-02-20,119.55,120.34,119.54,120.01,0
2007-02-21,120.0,121.17,119.71,120.88,0
2007-02-22,120.87,121.63,120.82,121.56,0
2007-02-23,121.57,121.63,120.92,121.06,0
2007-02-26,121.0,121.06,120.35,120.65,0
2007-02-27,120.65,120.74,117.5,117.92,0
2007-02-28,117.93,118.82,117.93,118.52,0
2007-03-01,118.46,118.85,116.96,117.54,0
2007-03-02,117.61,117.82,116.41,116.8,0
2007-03-05,116.74,116.77,115.14,115.51,0
2007-03-06,115.54,116.73,115.21,116.6,0
2007-03-07,116.61,116.88,115.98,116.01,0
2007-03-08,116.0,117.48,115.55,117.15,0
2007-03-09,117.15,118.37,117.08,118.32,0
2007-03-12,118.32,118.48,117.21,117.66,0
2007-03-13,117.71,117.77,116.19,116.28,0
2007-03-14,116.26,117.13,115.75,117.06,0
2007-03-15,117.05,117.77,116.97,117.57,0
2007-03-16,117.51,117.65,116.5,116.73,0
2007-03-19,116.41,117.76,116.24,117.52,0
2007-03-20,117.53,117.99,116.93,117.27,0
2007-03-21,117.28,117.94,117.16,117.5,0
2007-03-22,117.5,118.29,117.24,118.13,0
2007-03-23,118.14,118.24,117.4,118.07,0
2007-03-26,118.07,118.42,117.64,118.11,0
2007-03-27,118.1,118.38,117.7,117.8,0
2007-03-28,117.76,117.99,116.37,116.84,0
2007-03-29,116.83,118.09,116.67,118.06,0
2007-03-30,118.03,118.39,117.21,117.81,0
2007-04-02,117.52,118.06,117.45,117.85,0
2007-04-03,117.84,118.99,117.72,118.94,0
2007-04-04,118.94,119.08,118.55,118.7,0
2007-04-05,118.67,118.99,118.42,118.72,0
2007-04-06,118.72,119.38,118.66,119.25,0
2007-04-09,119.26,119.38,119.18,119.31,0
2007-04-10,119.31,119.35,118.76,119.05,0
2007-04-11,119.04,119.53,118.87,119.33,0
2007-04-12,119.35,119.49,118.8,119.15,0
2007-04-13,119.14,119.56,118.21,119.23,0
2007-04-16,119.36,119.86,118.98,119.73,0
2007-04-17,119.73,119.82,118.81,118.91,0
2007-04-18,118.9,119.02,118.1,118.67,0
2007-04-19,118.65,118.66,117.61,118.43,0
2007-04-20,118.51,118.96,118.24,118.67,0
2007-04-23,118.74,119.01,118.22,118.64,0
2007-04-24,118.62,118.93,118.23,118.58,0
2007-04-25,118.57,118.83,118.27,118.74,0
2007-04-26,118.68,119.66,118.53,119.58,0
2007-04-27,119.56,119.75,118.88,119.61,0
2007-04-30,119.3,119.74,119.18,119.49,0
2007-05-01,119.5,119.85,119.07,119.83,0
2007-05-02,119.79,120.27,119.54,120.15,0
2007-05-03,120.13,120.46,119.97,120.42,0
2007-05-04,120.41,120.45,119.9,120.18,0
2007-05-07,120.11,120.18,119.79,120.09,0
2007-05-08,120.09,120.13,119.52,120.03,0
2007-05-09,120.0,120.13,119.62,120.09,0
2007-05-10,120.05,120.53,119.83,119.88,0
2007-05-11,119.82,120.21,119.47,120.18,0
2007-05-14,120.2,120.44,120.05,120.34,0
2007-05-15,120.35,120.57,120.11,120.26,0
2007-05-16,120.26,120.83,120.16,120.8,0
2007-05-17,120.79,121.35,120.68,121.29,0
2007-05-18,121.28,121.39,120.7,121.11,0
2007-05-21,121.1,121.63,121.05,121.45,0
2007-05-22,121.45,121.59,121.21,121.54,0
2007-05-23,121.55,121.85,121.31,121.65,0
2007-05-24,121.61,121.67,121.24,121.39,0
2007-05-25,121.38,121.88,120.85,121.78,0
2007-05-28,121.76,121.8,121.6,121.71,0
2007-05-29,121.7,121.79,121.19,121.65,0
2007-05-30,121.64,121.75,121.3,121.65,0
2007-05-31,121.62,121.98,121.44,121.72,0
2007-06-01,121.71,122.13,121.68,122.07,0
2007-06-04,122.05,122.11,121.53,121.77,0
2007-06-05,121.76,121.93,121.12,121.37,0
2007-06-06,121.38,121.49,120.88,121.07,0
2007-06-07,121.04,121.55,120.78,120.97,0
2007-06-08,121.0,121.83,120.77,121.71,0
2007-06-11,121.73,121.83,121.51,121.71,0
2007-06-12,121.71,121.85,121.59,121.69,0
2007-06-13,121.68,122.76,121.49,122.7,0
2007-06-14,122.68,123.12,122.54,122.91,0
2007-06-15,122.9,123.66,122.87,123.43,0
2007-06-18,123.45,123.73,123.3,123.66,0
2007-06-19,123.65,123.72,123.32,123.34,0
2007-06-20,123.33,123.68,123.09,123.56,0
2007-06-21,123.51,123.75,123.41,123.72,0
2007-06-22,123.72,124.15,123.68,123.87,0
2007-06-25,123.82,123.94,123.31,123.66,0
2007-06-26,123.66,123.7,122.8,123.25,0
2007-06-27,123.26,123.27,122.23,122.83,0
2007-06-28,122.81,123.35,122.77,123.16,0
2007-06-29,123.15,123.53,122.96,123.16,0
2007-07-02,123.07,123.26,122.08,122.41,0
2007-07-03,122.38,122.68,122.12,122.44,0
2007-07-04,122.43,122.69,122.21,122.69,0
2007-07-05,122.68,122.99,122.33,122.92,0
2007-07-06,122.94,123.54,122.85,123.33,0
2007-07-09,123.37,123.66,123.21,123.39,0
2007-07-10,123.37,123.48,121.72,121.72,0
2007-07-11,121.71,122.52,120.98,122.48,0
2007-07-12,122.43,122.58,121.84,122.41,0
2007-07-13,122.39,122.6,121.9,121.91,0
2007-07-16,121.88,122.17,121.55,121.88,0
2007-07-17,121.88,122.41,121.7,122.32,0
2007-07-18,122.29,122.3,121.58,121.94,0
2007-07-19,121.91,122.17,121.76,122.0,0
2007-07-20,122.02,122.42,120.85,121.26,0
2007-07-23,121.42,121.61,120.81,121.09,0
2007-07-24,121.07,121.14,120.02,120.24,0
2007-07-25,120.22,120.63,119.81,120.49,0
2007-07-26,120.47,120.72,118.51,118.67,0
2007-07-27,118.67,119.27,118.01,118.6,0
2007-07-30,118.45,119.16,118.02,119.05,0
2007-07-31,119.05,119.48,118.43,118.59,0
2007-08-01,118.55,118.98,117.6,118.93,0
2007-08-02,118.89,119.36,118.33,119.2,0
2007-08-03,119.22,119.31,117.93,118.04,0
2007-08-06,117.78,119.09,117.37,118.86,0
2007-08-07,118.89,118.96,117.96,118.81,0
2007-08-08,118.81,119.83,118.7,119.71,0
2007-08-09,119.67,119.77,118.14,118.15,0
2007-08-10,118.15,118.73,117.22,118.39,0
2007-08-13,118.37,118.55,117.7,118.24,0
2007-08-14,118.22,118.49,117.56,117.56,0
2007-08-15,117.57,117.63,116.57,116.6,0
2007-08-16,116.57,116.71,112.0,113.87,0
2007-08-17,113.93,114.88,111.59,114.37,0
2007-08-20,114.34,115.48,113.77,114.87,0
2007-08-21,114.86,115.23,114.02,114.42,0
2007-08-22,114.42,115.44,113.99,115.31,0
2007-08-23,115.37,117.1,115.35,116.33,0
2007-08-24,116.31,116.44,115.53,116.1,0
2007-08-27,116.57,116.57,115.57,115.67,0
2007-08-28,115.67,115.75,114.11,114.15,0
2007-08-29,114.15,116.24,113.87,116.12,0
2007-08-30,116.11,116.11,115.21,115.84,0
2007-08-31,115.85,116.59,115.48,115.76,0
2007-09-03,115.75,116.1,115.66,115.93,0
2007-09-04,115.92,116.42,115.34,116.15,0
2007-09-05,116.21,116.46,114.99,115.08,0
2007-09-06,115.05,115.55,114.81,115.4,0
2007-09-07,115.41,115.58,113.12,113.37,0
2007-09-10,112.98,113.98,112.72,113.64,0
2007-09-11,113.64,114.36,113.41,114.31,0
2007-09-12,114.33,114.36,113.77,114.17,0
2007-09-13,114.19,115.48,114.1,114.79,0
2007-09-14,114.76,115.38,114.36,115.36,0
2007-09-17,115.31,115.37,114.66,115.07,0
2007-09-18,115.08,116.35,114.78,115.99,0
2007-09-19,116.03,116.33,115.66,115.89,0
2007-09-20,115.89,116.03,113.99,114.61,0
2007-09-21,114.61,115.84,114.56,115.47,0
2007-09-24,115.42,115.42,114.64,114.9,0
2007-09-25,114.89,114.98,114.03,114.61,0
2007-09-26,114.62,115.73,114.54,115.45,0
2007-09-27,115.46,115.88,115.1,115.57,0
2007-09-28,115.56,115.64,114.68,114.79,0
2007-10-01,114.8,116.04,114.75,115.75,0
2007-10-02,115.71,115.98,115.28,115.64,0
2007-10-03,115.62,116.77,115.56,116.68,0
2007-10-04,116.68,116.75,116.27,116.36,0
2007-10-05,116.36,117.26,116.34,116.97,0
2007-10-08,116.98,117.59,116.94,117.37,0
2007-10-09,117.37,117.44,116.8,117.09,0
2007-10-10,117.1,117.52,116.96,117.19,0
2007-10-11,117.18,117.78,117.0,117.3,0
2007-10-12,117.3,117.69,117.13,117.6,0
2007-10-15,117.51,117.93,117.1,117.42,0
2007-10-16,117.42,117.45,116.47,116.86,0
2007-10-17,116.87,117.19,116.18,116.58,0
2007-10-18,116.58,116.63,115.29,115.6,0
2007-10-19,115.59,115.72,114.49,114.51,0
2007-10-22,114.51,114.62,113.25,114.49,0
2007-10-23,114.49,115.02,114.19,114.69,0
2007-10-24,114.68,114.94,113.82,114.18,0
2007-10-25,114.15,114.56,113.76,114.17,0
2007-10-26,114.18,114.55,113.92,114.17,0
2007-10-29,114.11,114.9,114.01,114.62,0
2007-10-30,114.61,115.0,114.38,114.64,0
2007-10-31,114.64,115.48,114.53,115.23,0
2007-11-01,115.22,115.91,114.48,114.54,0
2007-11-02,114.53,115.4,114.36,114.83,0
2007-11-05,114.79,114.79,114.02,114.52,0
2007-11-06,114.53,114.78,114.25,114.71,0
2007-11-07,114.72,114.77,112.61,112.61,0
2007-11-08,112.61,113.36,112.13,112.65,0
2007-11-09,112.61,112.87,110.5,110.67,0
2007-11-12,110.5,110.78,109.13,109.4,0
2007-11-13,109.4,110.97,109.22,110.92,0
2007-11-14,110.9,111.74,110.77,111.33,0
2007-11-15,111.31,111.66,110.2,110.29,0
2007-11-16,110.28,111.32,109.79,111.07,0
2007-11-19,110.85,111.07,109.73,109.79,0
2007-11-20,109.77,110.56,109.5,109.98,0
2007-11-21,109.96,109.98,108.26,108.37,0
2007-11-22,108.39,109.16,108.27,108.41,0
2007-11-23,108.43,108.6,107.53,108.26,0
2007-11-26,108.39,108.78,107.2,107.39,0
2007-11-27,107.41,109.15,107.25,108.97,0
2007-11-28,108.95,110.48,108.25,110.03,0
2007-11-29,110.02,110.3,109.46,109.93,0
2007-11-30,109.9,111.21,109.63,111.2,0
2007-12-03,111.01,111.03,110.12,110.44,0
2007-12-04,110.44,110.54,109.56,109.79,0
2007-12-05,109.83,110.96,109.68,110.89,0
2007-12-06,110.87,111.45,110.61,111.28,0
2007-12-07,111.3,111.79,111.15,111.65,0
2007-12-10,111.41,111.86,111.33,111.68,0
2007-12-11,111.68,112.13,110.47,110.63,0
2007-12-12,110.65,112.45,110.6,112.22,0
2007-12-13,112.23,112.43,111.4,112.2,0
2007-12-14,112.19,113.58,112.19,113.26,0
2007-12-17,113.48,113.48,112.81,112.91,0
2007-12-18,112.92,113.52,112.72,113.36,0
2007-12-19,113.37,113.48,112.74,113.42,0
2007-12-20,113.29,113.37,112.78,113.12,0
2007-12-21,113.12,114.19,112.95,113.97,0
2007-12-24,114.12,114.48,113.96,114.27,0
2007-12-25,114.27,114.31,113.88,114.15,0
2007-12-26,114.14,114.39,113.88,114.32,0
2007-12-27,114.31,114.65,113.55,113.69,0
2007-12-28,113.71,114.0,112.65,112.79,0
2007-12-31,112.55,112.67,111.29,111.66,0
2008-01-01,111.71,111.76,111.25,111.64,0
2008-01-02,111.64,112.15,109.2,109.62,0
2008-01-03,109.63,109.75,108.22,109.28,0
2008-01-04,109.31,109.59,107.9,108.45,0
2008-01-07,108.49,109.73,108.46,109.16,0
2008-01-08,109.17,109.81,108.84,108.91,0
2008-01-09,108.87,110.09,108.78,110.01,0
2008-01-10,109.95,110.08,109.1,109.3,0
2008-01-11,109.34,109.71,108.63,108.82,0
2008-01-14,108.62,108.89,107.35,108.16,0
2008-01-15,108.15,108.34,106.61,106.76,0
2008-01-16,106.76,107.88,105.91,107.62,0
2008-01-17,107.63,107.86,106.54,106.55,0
2008-01-18,106.52,107.59,106.33,106.82,0
2008-01-21,106.7,106.97,105.67,105.94,0
2008-01-22,106.0,106.93,105.6,106.43,0
2008-01-23,106.42,107.38,104.96,106.7,0
2008-01-24,106.69,107.18,105.91,107.14,0
2008-01-25,107.17,107.88,106.72,107.01,0
